Item_id,POI_Type,L2_Category_name,stars,clusters
0,0,0,4.0,0
1,0,1,4.0,0
2,0,2,5.0,0
3,0,3,3.0,0
4,0,0,3.5,1
5,0,4,3.5,1
6,0,5,2.5,1
7,0,6,4.0,2
8,0,7,3.5,1
9,0,4,4.0,1
10,0,8,2.0,1
11,0,9,2.5,1
12,1,10,4.5,1
13,0,11,4.0,1
14,0,12,3.5,3
15,0,0,3.5,1
16,0,13,4.5,1
17,0,0,5.0,2
18,1,5,4.0,1
19,0,10,4.0,1
12,1,2,3.5,1
20,0,1,3.5,1
21,0,5,3.5,1
22,0,4,3.0,1
23,1,10,3.5,1
24,0,14,2.5,2
25,0,12,2.0,2
26,0,4,3.5,2
27,0,0,2.0,2
28,0,5,4.0,2
29,0,15,2.5,4
30,0,16,3.5,1
18,1,17,2.5,1
31,1,15,2.0,1
32,0,18,3.0,0
33,0,19,2.5,0
34,1,20,2.5,0
35,0,19,2.5,2
36,0,21,3.0,0
37,0,22,4.0,0
38,0,23,1.5,0
18,1,23,1.5,1
18,1,15,3.0,1
39,0,24,3.0,1
40,0,25,3.5,1
41,0,8,1.5,0
42,0,7,2.5,4
43,0,26,4.0,5
44,0,5,4.0,0
45,0,27,3.5,0
46,0,17,3.5,0
34,1,28,1.0,0
31,1,29,2.5,1
47,0,30,2.0,2
31,1,20,3.0,1
34,1,28,3.5,0
48,1,31,5.0,3
48,1,28,2.0,3
49,1,20,2.5,5
50,1,32,3.5,6
51,0,23,3.5,0
52,0,15,2.0,2
53,1,22,4.0,7
54,0,33,4.0,2
55,0,2,2.0,0
56,0,32,3.0,0
57,0,34,3.5,1
58,1,14,3.0,5
59,0,0,4.0,0
60,0,5,2.0,7
61,0,28,3.0,7
49,1,35,3.0,5
49,1,36,4.0,5
49,1,37,3.5,5
62,0,15,3.0,1
63,1,22,3.5,0
64,1,15,2.0,0
53,1,37,4.5,7
65,0,13,3.5,1
66,0,14,2.0,0
67,0,16,2.5,1
68,0,38,3.0,8
69,0,14,3.0,8
70,0,39,3.5,6
71,0,7,3.0,6
72,0,28,2.5,5
73,0,40,4.5,5
74,1,41,2.5,5
12,1,32,3.0,1
31,1,39,2.5,1
75,0,42,3.5,5
76,0,43,3.5,5
77,0,44,3.5,1
31,1,29,3.0,1
78,1,28,2.5,5
78,1,20,4.0,5
78,1,36,3.0,5
79,0,45,3.5,7
80,0,2,3.0,7
81,0,7,3.0,1
82,0,5,4.5,2
83,0,2,3.5,1
84,0,46,3.5,7
85,0,47,3.5,8
86,0,14,3.5,2
87,0,23,2.5,7
88,0,28,2.0,7
89,0,1,3.5,8
90,1,28,2.5,8
91,0,48,3.0,8
92,1,22,3.5,9
92,1,48,4.0,9
93,1,5,3.0,9
93,1,49,4.0,9
94,0,50,2.0,1
95,0,2,3.5,8
96,0,51,4.5,9
97,0,5,3.5,0
98,0,5,3.0,1
99,0,26,4.0,8
49,1,10,3.0,5
100,1,2,3.0,8
48,1,52,4.0,3
93,1,53,2.5,9
101,0,48,4.5,8
102,0,54,4.5,8
103,0,55,3.5,7
93,1,45,3.0,9
92,1,56,3.0,9
104,0,57,3.5,1
105,0,5,3.0,2
100,1,17,3.5,8
58,1,43,3.0,5
58,1,58,3.0,5
106,1,5,3.0,6
107,0,59,3.5,9
108,0,37,4.0,0
109,0,23,2.5,0
110,0,59,4.5,3
111,0,48,3.5,3
112,0,5,3.0,0
113,0,22,3.0,0
114,1,52,2.5,0
115,0,17,4.0,2
58,1,28,2.5,5
116,0,22,3.5,2
117,0,22,3.5,3
118,0,28,3.0,1
50,1,23,2.0,6
119,1,28,3.0,6
120,0,15,3.0,9
121,0,23,2.0,5
122,0,10,3.0,8
34,1,60,2.0,0
58,1,10,2.5,5
123,0,17,4.5,2
124,0,61,3.0,5
92,1,15,3.0,9
106,1,43,2.0,6
125,0,27,2.5,0
126,0,15,1.5,0
127,0,15,2.0,2
58,1,15,2.0,5
128,0,62,3.5,5
129,0,53,4.0,0
130,1,22,2.5,3
130,1,5,2.5,3
131,1,63,3.5,3
131,1,23,1.5,3
132,0,22,3.0,3
130,1,64,4.0,3
133,0,65,4.0,2
134,0,2,3.0,2
135,0,66,2.0,4
49,1,10,3.5,5
136,0,67,2.5,2
137,0,68,2.0,3
138,0,65,4.0,2
93,1,27,3.5,9
139,0,4,4.5,1
140,0,5,4.0,2
141,0,43,4.0,1
58,1,22,3.5,5
142,0,4,3.5,5
143,0,69,4.5,1
144,0,68,1.5,3
145,0,43,3.5,1
146,0,70,3.5,1
147,0,5,3.5,4
148,0,71,5.0,5
149,0,72,3.5,5
150,0,28,2.0,5
151,0,5,2.0,1
152,0,5,3.5,5
153,0,1,3.0,1
154,0,46,4.5,1
155,0,73,3.5,5
156,0,74,4.0,5
157,0,10,3.0,0
78,1,22,4.0,5
158,0,5,3.5,5
159,0,5,3.0,5
160,0,63,3.5,1
161,0,75,5.0,2
162,0,5,3.0,2
163,0,3,4.5,2
164,0,5,4.0,2
165,0,7,3.0,1
166,0,7,3.0,1
18,1,76,3.5,1
18,1,43,3.0,1
167,0,3,4.5,1
168,0,14,3.5,1
169,0,60,3.5,1
170,0,4,4.0,1
171,0,0,3.5,9
172,0,12,4.0,1
173,0,77,3.5,1
174,0,51,4.5,2
175,0,14,4.5,2
176,0,0,3.5,1
31,1,43,4.0,1
177,0,4,3.5,2
178,0,2,3.0,2
179,0,78,3.5,9
180,0,79,5.0,9
181,0,27,4.0,8
182,0,80,4.5,2
183,0,2,2.5,1
184,0,77,4.0,2
185,0,81,4.0,2
186,0,4,3.5,1
187,0,0,3.5,1
188,0,43,3.0,2
189,0,5,3.5,2
190,0,82,3.5,2
191,0,83,4.0,1
192,0,84,5.0,9
193,0,4,3.0,2
194,0,27,4.0,5
195,0,58,1.5,5
196,0,27,4.0,6
93,1,85,4.0,9
197,0,80,4.0,2
198,0,60,4.0,2
199,0,86,2.5,1
200,0,80,4.5,1
78,1,63,2.0,5
53,1,72,4.5,7
201,0,22,3.0,7
202,0,5,4.0,2
203,0,28,2.0,7
204,0,21,4.0,4
58,1,5,3.5,5
205,0,63,4.0,1
206,0,43,3.5,2
207,0,12,4.0,7
208,0,82,3.5,7
209,0,23,4.0,5
18,1,87,2.5,1
210,0,12,3.5,5
211,1,88,3.0,2
211,1,28,2.0,2
106,1,22,3.0,6
212,0,89,4.0,5
106,1,2,3.0,6
213,0,53,3.0,5
50,1,17,2.0,6
214,0,5,4.5,6
215,0,43,4.5,5
216,0,56,3.5,6
217,0,12,3.5,5
106,1,10,3.0,6
218,0,90,4.5,9
219,0,91,4.0,6
220,0,5,3.0,1
221,0,21,3.0,2
222,0,53,3.0,1
223,0,92,4.0,1
224,0,4,3.0,1
225,0,12,4.0,2
226,0,22,4.0,2
227,0,69,3.5,2
228,0,93,5.0,2
49,1,67,4.5,5
229,0,0,3.0,5
230,0,94,4.5,1
231,0,95,3.5,2
232,0,48,3.0,5
233,0,96,4.0,2
234,0,58,4.0,5
235,0,70,4.0,1
236,0,58,2.5,1
237,0,23,3.5,2
238,0,20,3.0,2
239,0,74,5.0,1
240,0,12,4.0,2
241,1,23,4.0,8
23,1,2,4.0,1
242,0,97,3.5,1
243,0,72,3.0,1
244,0,98,3.0,0
245,0,72,3.5,2
246,0,20,4.0,8
247,0,99,4.0,1
248,0,74,4.5,1
249,0,23,4.5,2
250,0,72,4.0,6
251,0,58,2.0,1
252,0,3,4.0,1
253,0,100,2.0,2
254,0,44,3.0,2
241,1,28,3.5,8
255,0,95,4.0,1
256,0,60,4.0,1
241,1,28,2.5,8
241,1,10,3.0,8
131,1,5,2.5,3
257,1,101,4.0,3
100,1,82,3.0,8
258,0,2,3.5,2
259,0,2,3.5,1
260,0,102,3.0,2
261,0,37,3.5,2
262,0,2,3.5,2
263,0,53,2.5,2
264,0,43,3.0,1
265,0,103,4.5,1
266,0,71,3.5,5
211,1,48,2.0,2
211,1,104,2.5,2
211,1,22,3.5,2
267,0,5,3.0,2
211,1,63,4.0,2
211,1,105,4.0,2
268,0,73,4.5,5
269,0,15,3.5,1
270,0,106,4.0,5
271,0,22,2.5,1
272,0,60,4.5,5
273,0,83,4.0,1
274,0,107,4.0,1
275,0,43,4.0,1
276,0,5,3.0,8
277,0,1,4.5,4
278,0,82,2.5,5
279,0,63,3.0,9
280,1,14,2.5,4
281,0,28,4.0,4
282,0,60,3.0,0
283,1,22,4.0,4
283,1,21,2.0,4
93,1,22,3.5,9
284,0,5,4.0,1
106,1,108,3.5,6
58,1,39,3.0,5
280,1,53,2.0,4
285,0,53,3.5,5
286,0,102,4.0,1
287,0,75,4.0,5
288,0,15,2.0,5
289,0,71,4.0,1
290,0,72,3.5,1
31,1,109,3.0,1
291,0,17,3.5,5
292,0,8,1.5,5
293,0,110,4.0,5
294,0,111,3.0,5
295,0,102,4.0,1
296,0,90,4.0,1
297,0,112,4.0,1
298,0,5,3.0,1
299,0,72,4.5,1
300,0,5,3.5,1
301,0,102,4.0,1
302,0,70,3.5,5
303,0,70,4.0,1
304,0,10,2.5,5
305,0,113,3.0,0
306,0,15,2.0,1
307,0,70,2.5,0
308,0,70,4.5,1
309,0,8,2.5,5
93,1,72,4.0,9
310,0,14,3.5,1
311,0,114,3.5,1
18,1,66,4.0,1
312,0,8,5.0,9
313,0,115,3.5,1
18,1,76,3.0,1
314,0,5,4.5,1
315,0,100,4.0,0
316,0,113,3.0,1
317,0,92,4.5,1
18,1,76,4.0,1
114,1,1,3.5,0
318,0,72,4.5,1
319,0,70,4.0,1
320,0,70,3.5,1
321,0,53,3.5,1
241,1,36,3.0,8
322,0,36,3.0,1
323,0,14,4.0,2
324,0,0,2.5,0
325,0,5,3.0,2
326,0,20,4.5,2
327,0,2,3.0,1
23,1,3,4.0,1
328,0,60,3.5,2
329,0,2,4.0,2
93,1,27,2.5,9
330,0,116,4.5,6
331,0,2,3.0,5
332,0,5,1.5,5
333,0,43,4.0,2
334,0,12,4.0,2
335,0,60,4.0,1
336,0,22,3.5,1
337,0,5,4.0,2
338,0,4,4.0,5
339,0,95,3.5,1
340,0,117,5.0,1
341,0,74,4.0,1
342,0,29,3.5,1
343,0,17,4.0,1
344,0,17,3.5,5
106,1,61,3.5,6
345,0,50,2.5,2
346,0,109,3.0,1
90,1,15,2.5,8
347,0,72,3.5,8
348,0,5,3.5,1
349,0,46,2.5,8
350,0,50,3.0,9
351,0,15,3.0,8
241,1,15,2.0,8
241,1,29,2.5,8
92,1,61,4.0,9
241,1,41,4.0,8
241,1,67,3.5,8
352,0,44,3.0,2
353,0,59,4.0,8
354,0,10,3.5,2
355,0,22,3.0,8
100,1,27,2.5,8
90,1,52,3.0,8
356,0,109,2.0,2
357,0,109,2.5,5
358,0,8,2.5,2
359,0,105,3.0,2
360,0,10,3.5,1
361,0,118,4.0,1
74,1,10,2.5,5
362,0,119,3.0,5
363,0,0,2.0,0
364,0,109,2.5,1
365,0,5,2.0,2
366,0,111,3.5,7
367,0,53,2.5,1
368,0,10,3.5,1
369,0,95,2.5,2
370,0,1,3.5,8
371,0,2,2.5,6
372,0,39,5.0,1
373,0,2,4.5,1
374,0,2,3.0,1
12,1,0,4.5,1
375,0,2,2.5,4
376,0,120,4.0,1
377,0,93,3.5,1
378,0,121,4.0,1
379,0,15,2.0,1
78,1,87,3.0,5
78,1,58,4.0,5
380,0,69,4.5,7
381,0,22,3.0,2
382,0,95,3.0,4
383,0,122,4.0,2
384,0,43,2.0,3
23,1,1,4.0,1
385,0,22,2.0,5
386,0,6,4.0,1
387,0,4,4.0,1
388,0,5,4.0,2
389,0,5,3.5,2
390,0,15,3.5,5
391,0,12,3.5,2
392,0,29,4.0,4
393,0,22,3.0,4
394,0,10,3.5,5
49,1,123,3.0,5
395,0,29,4.0,5
280,1,18,4.0,4
396,0,21,4.0,4
397,1,22,3.5,7
18,1,87,4.0,1
398,0,14,3.0,5
399,0,10,3.0,5
400,0,58,1.5,5
401,0,102,3.5,2
402,0,27,1.0,0
403,0,5,2.5,5
404,0,66,2.0,1
405,0,5,3.0,1
406,0,5,3.0,5
407,0,11,4.0,1
408,0,70,4.0,2
409,0,124,4.0,5
410,0,125,3.5,1
411,0,14,3.5,2
412,0,4,2.5,2
413,0,71,4.5,2
414,0,5,4.0,2
415,0,126,3.0,2
416,0,22,2.0,2
417,0,29,3.0,5
50,1,48,3.0,6
106,1,71,3.5,6
418,0,64,4.0,2
419,0,5,3.0,1
420,0,127,4.0,1
421,0,73,4.0,0
422,0,2,3.5,7
78,1,41,4.5,5
241,1,28,4.0,8
241,1,48,3.5,8
93,1,39,2.5,9
93,1,107,4.5,9
93,1,107,3.5,9
423,0,14,4.0,1
424,0,27,2.5,9
93,1,5,4.0,9
58,1,20,3.0,5
425,0,27,2.0,8
93,1,22,4.0,9
426,0,17,1.0,3
427,0,3,2.5,9
428,0,4,3.0,8
429,0,128,2.5,2
430,0,129,3.5,1
431,0,66,3.0,8
432,0,130,3.5,8
433,0,5,4.5,9
434,0,70,4.0,8
90,1,66,2.5,8
435,0,22,4.0,8
436,0,33,3.5,8
241,1,131,3.0,8
437,0,120,4.5,8
92,1,20,4.5,9
92,1,5,3.0,9
92,1,23,3.0,9
438,0,22,3.5,9
439,0,4,3.5,2
440,0,132,2.5,5
441,0,14,3.5,1
442,0,5,3.0,1
443,0,61,3.5,5
93,1,10,3.0,9
444,0,5,3.5,8
445,0,132,4.0,2
446,0,5,2.5,4
447,0,5,2.5,0
448,0,17,2.5,3
449,0,22,3.5,3
450,0,11,4.0,1
451,0,93,4.0,2
452,0,27,2.0,0
211,1,49,4.5,2
453,0,72,3.5,0
454,0,72,4.5,1
455,1,22,4.5,9
93,1,14,2.5,9
93,1,95,4.0,9
241,1,15,2.5,8
456,0,104,3.5,2
93,1,5,3.5,9
457,0,69,2.5,9
458,0,75,3.5,1
459,0,82,2.0,3
460,0,133,3.0,1
461,0,5,3.0,3
257,1,14,2.0,3
462,0,10,3.5,0
463,0,53,4.0,3
464,0,0,3.0,5
465,0,56,2.5,3
466,0,14,3.5,3
467,0,85,2.0,3
468,0,5,3.5,6
469,0,5,3.0,1
470,0,13,4.0,2
283,1,83,3.0,4
471,0,5,3.0,4
283,1,43,3.0,4
472,0,111,4.0,4
280,1,29,4.0,4
283,1,15,1.5,4
473,0,5,4.0,1
474,0,15,3.5,5
475,0,3,3.5,1
476,0,134,2.5,1
477,0,53,4.0,1
478,0,27,2.5,0
53,1,5,4.0,7
479,0,10,3.0,3
480,0,0,4.0,0
481,0,123,1.5,8
482,0,0,3.5,1
114,1,28,1.5,0
131,1,61,4.0,3
31,1,73,4.0,1
90,1,43,3.0,8
483,0,72,3.5,5
283,1,66,3.0,4
484,0,5,1.5,3
485,0,135,1.5,4
486,0,91,3.0,9
487,0,5,3.5,2
488,0,10,3.5,0
489,0,9,4.0,1
490,0,129,3.5,2
491,0,10,3.5,2
492,0,136,3.5,2
493,0,137,2.0,1
494,0,138,4.0,1
495,0,65,4.0,1
496,0,92,3.5,1
18,1,37,3.0,1
497,0,5,3.5,1
498,0,28,1.5,0
499,0,72,3.5,2
500,0,5,4.0,1
501,0,74,3.0,1
502,0,70,3.0,1
503,0,72,3.5,1
504,0,139,3.5,2
505,0,5,3.0,1
74,1,5,4.0,5
506,0,5,2.5,1
507,0,1,3.5,5
508,0,51,4.5,5
509,0,102,3.0,1
510,0,126,4.5,1
511,0,5,2.0,1
512,0,69,4.5,1
513,0,133,4.0,1
514,0,140,1.5,1
515,0,109,3.5,1
516,0,49,3.0,1
517,0,14,2.5,8
518,0,5,4.0,2
519,0,33,5.0,1
520,1,5,2.5,3
521,0,133,3.5,3
522,0,141,4.0,2
523,0,4,4.0,2
524,0,14,3.5,2
525,0,5,4.0,7
526,0,5,3.0,2
527,0,129,3.0,1
528,0,2,3.0,3
529,0,39,3.0,5
530,0,2,4.0,1
531,0,4,2.0,1
12,1,12,4.0,1
532,0,142,5.0,1
533,0,2,3.0,2
534,0,14,4.5,2
535,0,53,3.0,4
536,0,22,3.5,4
283,1,58,4.0,4
283,1,37,5.0,4
537,0,143,4.0,1
538,0,60,2.5,1
539,0,107,3.0,4
540,0,15,3.5,4
106,1,1,2.5,6
541,0,27,2.5,6
53,1,53,3.0,7
542,0,83,4.0,6
543,0,144,4.0,7
544,0,43,4.0,8
545,0,12,3.0,1
546,0,81,4.5,2
547,0,82,2.5,1
548,0,70,4.0,1
549,0,60,4.0,1
93,1,117,2.5,9
550,0,27,2.0,0
551,0,133,4.5,2
58,1,52,3.5,5
552,0,1,3.5,5
553,0,21,2.5,5
34,1,52,1.0,0
554,0,145,3.5,0
555,0,56,3.5,5
556,0,5,2.5,5
557,0,27,3.0,5
558,0,22,3.5,4
559,0,60,3.0,2
560,0,102,3.0,4
561,0,56,3.5,4
93,1,63,2.0,9
562,0,63,3.0,2
93,1,10,2.0,9
257,1,45,4.0,3
563,0,22,4.0,0
58,1,5,5.0,5
564,0,15,4.0,6
565,0,72,1.5,2
566,0,70,3.5,2
567,0,100,4.0,9
568,0,112,5.0,8
569,0,70,3.0,1
570,0,123,3.5,2
571,0,116,3.5,4
572,0,14,4.0,4
573,0,45,4.0,1
574,0,92,4.0,2
575,0,70,3.5,5
576,0,146,4.5,2
577,0,147,2.0,5
578,0,5,3.5,2
579,0,10,3.0,8
580,0,58,2.5,5
581,0,14,3.5,8
582,0,50,1.5,5
93,1,15,2.0,9
90,1,28,3.0,8
241,1,36,2.5,8
583,0,14,3.0,2
584,0,100,4.0,5
78,1,43,3.0,5
585,0,12,4.0,5
586,0,102,4.5,1
587,0,102,3.5,1
588,0,63,3.5,6
589,0,27,2.5,3
